Dens,Lat,Long
567.3222192,-74.16971253,4.441825214
641.8488076,-74.16700965,4.442910723
640.1378997,-74.16646905,4.442910789
638.7730436,-74.16592845,4.442910854
639.406439,-74.16755032,4.443453246
642.7596849,-74.16700972,4.443453312
643.2355376,-74.16646911,4.443453377
639.0936969,-74.16592851,4.443453442
639.1789735,-74.16755038,4.443995834
641.7064529,-74.16700978,4.4439959
643.5353315,-74.16646918,4.443995966
640.0975714,-74.16592857,4.443996031
624.3917474,-74.16160375,4.443996537
630.0982273,-74.16106315,4.443996598
631.9118966,-74.16052254,4.44399666
551.4332774,-74.13457359,4.443999126
622.6253676,-74.16160381,4.444539125
626.0871287,-74.16106321,4.444539187
631.2097666,-74.16052261,4.444539248
638.8573856,-74.159982,4.444539309
562.7295607,-74.15890079,4.444539429
508.1457292,-74.13403303,4.444541757
641.2918242,-74.16700991,4.445081077
621.1865754,-74.16268508,4.445081589
624.3112529,-74.16214448,4.445081652
620.9546491,-74.16160387,4.445081714
627.5905887,-74.16106327,4.445081775
641.911076,-74.15998206,4.445081897
572.7520206,-74.15836025,4.445082077
466.1488583,-74.13241126,4.445084468
456.7303787,-74.13187065,4.445084508
640.829901,-74.16755058,4.445623599
640.3269365,-74.16700998,4.445623665
626.7890962,-74.16322575,4.445624115
625.791329,-74.16268514,4.445624178
624.3089629,-74.16214454,4.44562424
466.1989959,-74.1324113,4.445627057
455.3226778,-74.13187069,4.445627097
446.0003914,-74.13133009,4.445627137
643.8574587,-74.16755065,4.446166187
639.9285832,-74.16701004,4.446166253
632.6967225,-74.16322581,4.446166703
626.5013409,-74.16268521,4.446166766
633.911413,-74.1621446,4.446166829
564.9267406,-74.15836037,4.446167254
467.4986572,-74.13241134,4.446169646
438.2275309,-74.13187073,4.446169686
571.8860181,-74.17079434,4.446708372
581.1525794,-74.17025374,4.44670844
572.2931277,-74.16971313,4.446708508
642.2118134,-74.16755071,4.446708776
639.3384474,-74.16701011,4.446708841
618.7800347,-74.15890103,4.446709783
572.1996087,-74.15836043,4.446709842
444.533649,-74.13241138,4.446712234
430.8383559,-74.13187077,4.446712274
571.0673009,-74.17079441,4.44725096
574.7703299,-74.17025381,4.447251028
577.1437202,-74.1697132,4.447251096
628.7467044,-74.15890109,4.447252371
613.3954104,-74.15565746,4.447252722
496.6547909,-74.13457384,4.447254659
573.1170606,-74.17025387,4.447793616
581.7165455,-74.16971327,4.447793684
637.8236336,-74.16484782,4.447794278
629.8604263,-74.16430721,4.447794342
621.0680259,-74.15890115,4.447794959
617.5341787,-74.15727933,4.447795137
488.4981181,-74.13511449,4.447797205
575.8959627,-74.17025394,4.448336205
582.3080442,-74.16971334,4.448336273
641.1622796,-74.16592909,4.448336737
645.9812289,-74.16538849,4.448336802
641.9866479,-74.16484788,4.448336866
628.108553,-74.16430727,4.44833693
626.9861788,-74.16376667,4.448336994
612.7992389,-74.16052303,4.448337367
627.826065,-74.15944182,4.448337488
627.6780839,-74.15890121,4.448337548
473.4508076,-74.13565514,4.448339751
469.8273685,-74.13511453,4.448339794
465.7039714,-74.13457392,4.448339836
445.6819447,-74.13403332,4.448339878
563.3148406,-74.17133522,4.448878656
567.5856149,-74.17079462,4.448878725
575.9954962,-74.17025401,4.448878793
586.868999,-74.1697134,4.448878861
640.6256727,-74.16646976,4.44887926
637.4628898,-74.16592916,4.448879325
643.1730399,-74.16538855,4.44887939
644.6465465,-74.16484794,4.448879454
615.7917758,-74.15998248,4.448880016
453.5896325,-74.13565518,4.44888234
459.5492943,-74.13511457,4.448882382
464.0276929,-74.13457397,4.448882424
435.9426109,-74.13403336,4.448882466
566.1125508,-74.17079468,4.449421313
575.610341,-74.17025408,4.449421381
585.5281687,-74.16971347,4.449421449
639.1904435,-74.16646983,4.449421848
638.8608193,-74.16592922,4.449421913
640.3308474,-74.16538861,4.449421978
646.4140805,-74.16484801,4.449422043
610.4462666,-74.16160437,4.44942242
603.7085348,-74.16106376,4.449422482
616.753707,-74.15998254,4.449422604
604.347001,-74.15836072,4.449422784
604.1899902,-74.15782012,4.449422843
466.4149419,-74.13835826,4.44942471
460.5904435,-74.13781765,4.449424754
457.3335332,-74.13727704,4.449424799
435.5267653,-74.13565522,4.449424928
428.8411094,-74.13511461,4.449424971
431.0225335,-74.13457401,4.449425013
416.0069936,-74.1340334,4.449425055
392.8757766,-74.13349279,4.449425096
642.119906,-74.16592929,4.449964502
643.6107933,-74.16538868,4.449964566
643.2731522,-74.16484807,4.449964631
601.9897408,-74.16160443,4.449965009
608.9145791,-74.159442,4.449965253
608.5676095,-74.15890139,4.449965313
586.4100079,-74.15727957,4.44996549
582.8115057,-74.15457653,4.449965778
459.2733001,-74.1383583,4.449967298
455.9334495,-74.1378177,4.449967343
453.5112374,-74.13727709,4.449967387
415.6036533,-74.13511466,4.44996756
411.5077192,-74.13457405,4.449967602
391.0495851,-74.1313304,4.449967846
598.0943429,-74.15998267,4.450507781
606.7681178,-74.15944206,4.450507841
601.5064209,-74.15890145,4.450507901
584.6161464,-74.15782023,4.45050802
572.7318695,-74.15619841,4.450508195
462.1386243,-74.13889896,4.450509842
450.0708188,-74.13835835,4.450509887
395.9286097,-74.13241166,4.450510355
394.7876969,-74.13133044,4.450510435
391.8283915,-74.13078983,4.450510474
391.5922121,-74.12970862,4.450510552
400.0907135,-74.12916801,4.45051059
605.6269031,-74.16214516,4.451050123
591.8860526,-74.16052333,4.451050308
462.1933596,-74.13943961,4.451052385
449.2434384,-74.138899,4.451052431
439.3009113,-74.13835839,4.451052476
429.3153727,-74.13781778,4.45105252
390.0771578,-74.1324117,4.451052944
390.8703463,-74.13187109,4.451052984
396.906389,-74.13133048,4.451053023
390.2011073,-74.13078987,4.451053063
387.1223217,-74.12970866,4.45105314
398.9939427,-74.12916805,4.451053178
632.4027395,-74.16484826,4.451592396
609.7740714,-74.16268583,4.451592649
602.5942423,-74.16214522,4.451592712
560.6654109,-74.15673913,4.451593314
575.9222197,-74.15403609,4.4515936
451.8627193,-74.13943965,4.451594974
432.3638916,-74.13889905,4.451595019
393.9448729,-74.13133052,4.451595612
391.6342209,-74.12970869,4.451595729
397.9106606,-74.12916808,4.451595767
571.1361947,-74.16809198,4.452134591
640.9714452,-74.16538894,4.452134919
633.4888909,-74.16484833,4.452134984
625.4339204,-74.16430772,4.452135048
600.5851521,-74.16214528,4.4521353
595.6856408,-74.16160467,4.452135362
591.6174561,-74.15890163,4.452135666
580.6450305,-74.15782041,4.452135785
561.4527756,-74.1572798,4.452135844
568.8121249,-74.15511737,4.452136075
585.4215383,-74.15403615,4.452136188
474.2821256,-74.14106153,4.452137424
457.8886943,-74.14052092,4.452137471
430.6268691,-74.13998031,4.452137517
425.2036724,-74.1394397,4.452137562
420.9230375,-74.13889909,4.452137608
635.2358767,-74.165389,4.452677508
632.1861113,-74.16484839,4.452677572
627.0294981,-74.16430778,4.452677636
598.8455337,-74.16160474,4.45267795
600.6461223,-74.16052352,4.452678073
603.6660438,-74.1594423,4.452678194
594.8170099,-74.15890169,4.452678254
579.4120943,-74.15782047,4.452678373
576.5944541,-74.15511742,4.452678663
595.4769153,-74.15349559,4.452678833
431.5171873,-74.14052096,4.452680059
425.6856956,-74.13998035,4.452680105
412.8991279,-74.13943974,4.452680151
389.4251873,-74.13349304,4.452680628
630.6647931,-74.16538907,4.453220096
628.4001197,-74.16484846,4.45322016
626.8918737,-74.16430785,4.453220224
603.3092791,-74.15998297,4.453220722
603.307928,-74.15944236,4.453220783
579.5925967,-74.15782053,4.453220961
576.7680435,-74.15727992,4.45322102
421.7271718,-74.13565552,4.453223049
390.5074606,-74.13403369,4.453223175
394.2033906,-74.13349308,4.453223216
563.3472977,-74.16809218,4.453762356
568.9884873,-74.16755157,4.453762422
622.0199193,-74.16430791,4.453762812
583.197707,-74.15782059,4.45376355
419.8539072,-74.13565556,4.453765637
410.9545825,-74.13511495,4.45376568
404.3381885,-74.13457434,4.453765722
402.3957162,-74.13403373,4.453765764
400.3842789,-74.13349312,4.453765805
559.8579256,-74.16809225,4.454304944
560.445764,-74.16755164,4.45430501
570.0464138,-74.16701103,4.454305076
608.7756832,-74.15998309,4.454305899
604.9540364,-74.15944248,4.454305959
598.7705909,-74.15890187,4.454306019
591.0234652,-74.1556582,4.454306371
422.5664523,-74.13673683,4.454308139
423.5337156,-74.13619622,4.454308183
407.4298385,-74.13565561,4.454308226
407.4077686,-74.13511499,4.454308268
400.8813036,-74.13457438,4.45430831
556.7958111,-74.16863292,4.454847465
558.0745157,-74.16809231,4.454847532
558.8438592,-74.1675517,4.454847599
601.9772417,-74.16052376,4.454848426
602.1762582,-74.15944254,4.454848547
595.5012485,-74.15565826,4.454848959
590.097044,-74.15511765,4.454849017
419.7317006,-74.13673687,4.454850728
427.5969355,-74.13619626,4.454850771
417.6789256,-74.13565565,4.454850814
400.1328214,-74.13511504,4.454850857
436.0144688,-74.13187137,4.454851104
435.0044678,-74.13079015,4.454851183
452.5812324,-74.12808709,4.454851374
455.3700393,-74.12754648,4.454851411
553.7417986,-74.16863299,4.455390053
557.5146005,-74.16809238,4.45539012
556.100295,-74.16755177,4.455390187
592.1535502,-74.15511771,4.455391605
418.2032374,-74.13943997,4.455393094
424.5345834,-74.13889936,4.455393139
427.333136,-74.13835875,4.455393184
418.6847266,-74.13727753,4.455393273
420.6295826,-74.13673691,4.455393316
417.6403765,-74.1361963,4.45539336
437.6345046,-74.13187141,4.455393692
444.0586436,-74.1313308,4.455393732
437.4909871,-74.13079019,4.455393772
447.0754346,-74.12970896,4.455393849
